x,y
0.00,0.00
21.70,0.00
15.32,15.32
0.00,21.70
-15.32,15.32
-21.70,0.00
-15.32,-15.32
0.00,-21.67
15.32,-15.32
43.33,0.00
40.04,16.58
30.64,30.64
16.58,40.04
0.00,43.33
-16.58,40.04
-30.60,30.64
-40.04,16.58
-43.33,0.00
-40.04,-16.58
-30.64,-30.60
-16.58,-40.04
0.00,-43.33
16.58,-40.04
30.60,-30.64
40.04,-16.58
65.00,0.00
62.79,16.82
56.30,32.50
45.96,45.96
32.50,56.29
16.82,62.79
0.00,65.00
-16.82,62.79
-32.50,56.30
-45.96,45.96
-56.29,32.50
-62.79,16.82
-65.00,0.00
-62.79,-16.82
-56.30,-32.50
-45.96,-45.96
-32.50,-56.29
-16.82,-62.79
0.00,-65.00
16.82,-62.79
32.50,-56.29
45.96,-45.96
56.29,-32.50
62.79,-16.82
